x,t1,t2,t3
1,0.03097,0.052214,0.036985
2,0.073156,0.020563,0.046735
3,0.03068,0.01995,0.035074
4,0.037182,0.022455,0.016037
5,0.019228,0.01679,0.025642
6,0.048292,0.02494,0.035146
7,0.040019,0.065069,0.035431
8,0.033974,0.052173,0.048137
9,0.84665,1.022709,0.695136
10,0.926701,0.76621,1.051629
11,1.170296,0.758341,0.649791
12,0.527647,0.510818,0.243023
13,0.337003,0.421644,0.498472
14,0.742688,0.443533,0.653212
15,0.65498,0.88408,0.674595
16,0.17568,0.283785,0.671745
17,2.151398,2.044374,1.982351
18,2.208197,2.226064,1.986375
19,2.527234,2.273021,2.094364
20,2.064821,2.166679,2.200518
21,2.455268,2.527496,2.356618
22,2.149369,2.474745,2.393754
23,2.507568,1.94332,2.626283
24,2.32357,2.773025,2.316693
